x,Visibility
"0,23936","2775,45"
"0,29255","2660,91"
"0,3484","2546,36"
"0,40426","2431,82"
"0,45745","2317,27"
"0,51064","2202,73"
"0,56649","2088,18"
"0,61968","1973,64"
"0,67287","1850,91"
"0,72074","1711,82"
"0,7633","1548,18"
"0,79521","1376,36"
"0,82181","1188,18"
"0,84309","991,82"
"0,85638","795,45"
"0,86436","590,91"
