x,Visibility
"0,00266","893,64"
"0,06649",910
"0,13032","942,73"
"0,19415","967,27"
"0,25798","1008,18"
"0,32181","1049,09"
"0,38564","1098,18"
"0,44415","1171,82"
"0,49734","1286,36"
