x,Visibility
"0,26064","2775,45"
"0,31383","2660,91"
"0,36968","2538,18"
"0,42287","2423,64"
"0,47606","2309,09"
"0,53191","2186,36"
"0,58511","2071,82"
"0,64096","1957,27"
"0,69415","1834,55"
"0,74202","1711,82"
"0,78989","1556,36"
"0,82713","1392,73"
"0,85904","1220,91"
"0,88564","1032,73"
"0,90691","836,36"
