x,Visibility
"0,00266","590,91"
"0,06649","599,09"
"0,13298","615,45"
"0,19681",640
"0,26064","664,55"
"0,32447","697,27"
"0,3883",730
"0,45213","779,09"
"0,5133","852,73"
"0,56915","959,09"
"0,60904","1114,55"
