x,Visibility
"0,28191","2775,45"
"0,33511","2652,73"
"0,3883","2538,18"
"0,44415","2423,64"
"0,49734","2309,09"
"0,55319","2186,36"
"0,60638","2071,82"
"0,65957","1957,27"
"0,71543","1842,73"
"0,76596","1711,82"
"0,81117","1572,73"
"0,85372","1417,27"
"0,88564","1245,45"
"0,91223","1057,27"
"0,93351","860,91"
